date,commodity,classification,county,market,volume_supplied_tonnes,wholesale_price_ksh,retail_price_ksh
2023-11-16,Camel milk(Processed),-,Kisumu,Katito,1.5,60.0,75.0
2023-08-20,Camel milk(Processed),-,Nandi,Kibiok,0.2,50.0,60.0
2023-06-28,Camel milk(Processed),-,Vihiga,Kilingili,0.1,55.0,105.0
2023-06-23,Camel milk(Processed),-,Muranga,Kabati - Muranga,0.21,110.0,120.0
2023-06-18,Camel milk(Processed),-,Nyamira,Ikonge,3.6,47.725,120.0
2023-06-05,Camel milk(Processed),-,Kirinyaga,Kagio,0.475,42.0,60.0
2023-05-26,Camel milk(Processed),-,Mombasa,Marikiti,0.475,52.22,150.0
2023-05-18,Camel milk(Processed),-,Mandera,Elwak Livestock Market,0.04,80.0,160.0
2023-05-08,Camel milk(Processed),-,Mandera,Elwak Livestock Market,0.04,80.0,100.0
2023-01-27,Camel milk(Processed),-,Kericho,Kericho Town,0.81,45.0,60.0
2023-01-19,Camel milk(Processed),-,Kisumu,Kibuye,0.71,72.08500000000001,120.0
2022-10-24,Camel milk(Processed),-,test,test market,0.69,116.67,130.0
2022-10-06,Camel milk(Processed),-,Machakos,Masii (Livestock),0.3,70.0,80.0
2022-10-05,Camel milk(Processed),-,Siaya,Akala,1.5,108.33,130.0
2022-09-28,Camel milk(Processed),-,Kitui,Mwingi Town,0.6,108.33,140.0
2022-09-08,Camel milk(Processed),-,Kitui,Kabati Kitui,0.2,140.0,140.0
2022-09-06,Camel milk(Processed),-,Siaya,Bondo,0.001,1.0,1.0
2022-09-06,Camel milk(Processed),-,Muranga,Kagunduini,2.0,65.0,130.0
2022-08-18,Camel milk(Processed),-,Machakos,Masii (Livestock),0.3,70.0,80.0
2022-08-12,Camel milk(Processed),-,Migori,Marindi,0.2,35.0,80.0
2022-07-29,Camel milk(Processed),-,Migori,Marindi,0.2,27.855,80.0
2022-06-07,Camel milk(Processed),-,Taita-Taveta,Wundanyi,1.0,50.0,60.0
2022-06-01,Camel milk(Processed),-,Siaya,Akala,1.5,96.67,120.0
2022-05-14,Camel milk(Processed),-,Siaya,Akala,1.5,96.67,120.0
2022-04-27,Camel milk(Processed),-,Siaya,Akala,1.0,100.0,120.0
2022-04-13,Camel milk(Processed),-,Siaya,Akala,0.8,100.0,140.0
2022-02-09,Camel milk(Processed),-,Siaya,Akala,1.5,89.33,100.0
2021-11-10,Camel milk(Processed),-,Nandi,Serem - Nandi,0.6,40.0,50.0
2021-10-18,Camel milk(Processed),-,Machakos,Machakos Main Market,0.29,37.5,100.0
2021-10-06,Camel milk(Processed),-,Nandi,Serem - Nandi,0.53,90.0,110.0
2021-10-04,Camel milk(Processed),-,Machakos,Machakos Main Market,1.5,97.5,100.0
2021-08-30,Camel milk(Processed),-,Machakos,Machakos Main Market,0.61,81.25,100.0
2021-08-06,Camel milk(Processed),-,Taita-Taveta,Wundanyi,1.0,40.0,60.0
2021-08-05,Camel milk(Processed),-,Machakos,Masii (Livestock),0.6,50.0,50.0
2021-07-19,Camel milk(Processed),-,Mandera,Banisa Livestock Market,1.2,40.0,60.0
2021-07-16,Camel milk(Processed),-,Siaya,Bondo,2.0,96.67,110.0
2008-04-01,Camel milk(Processed),-,Nakuru,Nakuru Wakulima,0.515,12.32,56.11
2008-04-01,Camel milk(Processed),-,Uasin-Gishu,Eldoret Main,0.665,15.94,66.11
2008-04-01,Camel milk(Processed),-,Laikipia,Nyahururu Municipal Market,0.425,18.84,50.0
2008-04-01,Camel milk(Processed),-,Meru,Gakoromone,0.075,21.74,34.555
2024-09-16,Cow Milk (Processed),-,Siaya,Aram,0.696,131.25,150.0
2024-09-16,Cow Milk (Processed),-,Siaya,Aram,0.78,136.67,160.0
2024-09-16,Cow Milk (Processed),-,Siaya,Aram,0.96,106.67,120.0
2024-09-13,Cow Milk (Processed),-,Siaya,Bondo,1.0,83.33,120.0
2024-09-13,Cow Milk (Processed),-,Muranga,Kabati - Muranga,3.4,100.0,110.0
2024-09-10,Cow Milk (Processed),-,Meru,Ngundune,1.2,50.0,60.0
2024-09-08,Cow Milk (Processed),-,Kisumu,Kibuye,3.15,52.22,110.0
2024-09-06,Cow Milk (Processed),-,Taita-Taveta,Wundanyi,0.1,50.28,160.0
2024-09-05,Cow Milk (Processed),-,Siaya,Aram,0.864,131.25,150.0
2024-09-05,Cow Milk (Processed),-,Siaya,Aram,0.99,136.67,160.0
2024-09-05,Cow Milk (Processed),-,Siaya,Aram,0.87,96.67,110.0
2024-09-05,Cow Milk (Processed),-,Meru,Ngundune,0.85,100.0,120.0
2024-08-30,Cow Milk (Processed),-,Siaya,Ugunja,3.6,100.0,130.0
2024-08-30,Cow Milk (Processed),-,Siaya,Bondo,1.2,94.17,120.0
2024-08-29,Cow Milk (Processed),-,Siaya,Aram,1.152,131.25,150.0
2024-08-29,Cow Milk (Processed),-,Siaya,Aram,1.23,136.67,160.0
2024-08-29,Cow Milk (Processed),-,Siaya,Aram,1.41,96.67,110.0
2024-08-28,Cow Milk (Processed),-,Siaya,Bondo,2.4,97.5,120.0
2024-08-27,Cow Milk (Processed),-,Meru,Ngundune,1.2,100.0,120.0
2024-08-26,Cow Milk (Processed),-,Siaya,Aram,0.864,131.25,150.0
2024-08-26,Cow Milk (Processed),-,Siaya,Aram,1.02,136.67,160.0
2024-08-26,Cow Milk (Processed),-,Siaya,Aram,0.84,96.67,110.0
2024-08-22,Cow Milk (Processed),-,Siaya,Aram,0.864,131.25,150.0
2024-08-22,Cow Milk (Processed),-,Siaya,Aram,0.912,140.0,160.0
2024-08-22,Cow Milk (Processed),-,Siaya,Aram,1.212,96.67,110.0
2024-08-21,Cow Milk (Processed),-,Kitui,Mwingi Town,1.8,100.0,120.0
2024-08-20,Cow Milk (Processed),-,Siaya,Bondo,2.4,95.83,110.0
2024-08-19,Cow Milk (Processed),-,Siaya,Aram,0.768,131.25,150.0
2024-08-19,Cow Milk (Processed),-,Siaya,Aram,0.93,136.67,160.0
2024-08-19,Cow Milk (Processed),-,Siaya,Aram,0.852,106.67,120.0
2024-08-16,Cow Milk (Processed),-,Siaya,Bondo,2.4,95.83,120.0
2024-08-15,Cow Milk (Processed),-,Siaya,Aram,0.624,120.83,150.0
2024-08-15,Cow Milk (Processed),-,Siaya,Aram,0.912,136.67,160.0
2024-08-15,Cow Milk (Processed),-,Siaya,Aram,0.87,96.67,110.0
2024-08-13,Cow Milk (Processed),-,Siaya,Bondo,4.0,91.67,110.0
2024-08-13,Cow Milk (Processed),-,Kisumu,Ahero,2.4,120.0,130.0
2024-08-13,Cow Milk (Processed),-,Meru,Ngundune,1.5,100.0,120.0
2024-08-12,Cow Milk (Processed),-,Siaya,Aram,0.864,131.25,150.0
2024-08-12,Cow Milk (Processed),-,Siaya,Aram,1.02,140.0,160.0
2024-08-12,Cow Milk (Processed),-,Siaya,Aram,0.948,96.67,110.0
2024-08-08,Cow Milk (Processed),-,Siaya,Aram,0.875,131.25,150.0
2024-08-08,Cow Milk (Processed),-,Siaya,Aram,1.248,140.0,160.0
2024-08-08,Cow Milk (Processed),-,Siaya,Aram,1.452,96.67,110.0
2024-08-06,Cow Milk (Processed),-,Siaya,Bondo,1.2,98.17,110.0
2024-08-05,Cow Milk (Processed),-,Siaya,Aram,1.344,133.33,150.0
2024-08-05,Cow Milk (Processed),-,Siaya,Aram,1.08,136.67,160.0
2024-08-05,Cow Milk (Processed),-,Siaya,Aram,1.38,105.0,120.0
2024-07-30,Cow Milk (Processed),-,Meru,Ngundune,1.5,100.0,120.0
2024-07-29,Cow Milk (Processed),-,Siaya,Aram,0.96,131.25,150.0
2024-07-29,Cow Milk (Processed),-,Siaya,Aram,1.8,136.67,160.0
2024-07-29,Cow Milk (Processed),-,Siaya,Aram,1.5,106.67,120.0
2024-07-26,Cow Milk (Processed),-,Siaya,Bondo,1.2,97.5,110.0
2024-07-22,Cow Milk (Processed),-,Siaya,Aram,0.816,131.25,150.0
2024-07-22,Cow Milk (Processed),-,Siaya,Aram,1.35,136.67,160.0
2024-07-22,Cow Milk (Processed),-,Siaya,Aram,1.38,106.67,120.0
2024-07-21,Cow Milk (Processed),-,Nyamira,Ikonge,3.6,48.33,120.0
2024-07-18,Cow Milk (Processed),-,Siaya,Aram,1.2,133.33,150.0
2024-07-18,Cow Milk (Processed),-,Siaya,Aram,1.248,133.33,160.0
2024-07-18,Cow Milk (Processed),-,Siaya,Aram,0.9,106.67,120.0
2024-07-18,Cow Milk (Processed),-,Meru,Ngundune,1.5,100.0,120.0
2024-07-16,Cow Milk (Processed),-,Siaya,Bondo,2.4,95.0,100.0
2024-07-16,Cow Milk (Processed),-,Vihiga,Cheptulu,0.84,70.0,90.0
2024-07-15,Cow Milk (Processed),-,Siaya,Aram,0.45,135.42,150.0
2024-07-15,Cow Milk (Processed),-,Siaya,Aram,0.72,133.33,160.0
2024-07-15,Cow Milk (Processed),-,Siaya,Aram,0.75,106.67,120.0
2024-07-14,Cow Milk (Processed),-,Nyamira,Ikonge,3.6,43.33,120.0
2024-07-09,Cow Milk (Processed),-,Meru,Ngundune,0.8,100.0,120.0
2024-07-04,Cow Milk (Processed),-,Meru,Ngundune,0.8,100.0,120.0
2024-07-02,Cow Milk (Processed),-,Kisumu,Ahero,0.56,120.0,130.0
2024-06-29,Cow Milk (Processed),-,Nakuru,Molo,0.6,55.0,60.0
2024-06-18,Cow Milk (Processed),-,Meru,Ngundune,0.8,100.0,120.0
2024-06-15,Cow Milk (Processed),-,Muranga,Mukuyu Market,3.0,60.0,80.0
2024-06-11,Cow Milk (Processed),-,Meru,Ngundune,1.5,100.0,120.0
2024-06-05,Cow Milk (Processed),-,Siaya,Akala,1.5,61.665,130.0
2024-06-05,Cow Milk (Processed),-,Nakuru,Molo,0.6,48.885,60.0
2024-06-04,Cow Milk (Processed),-,Meru,Ngundune,0.8,100.0,120.0
2024-06-02,Cow Milk (Processed),-,Migori,Rongo,0.05,100.0,100.0
2024-06-02,Cow Milk (Processed),-,Migori,Rongo,0.1,140.0,170.0
2024-06-02,Cow Milk (Processed),-,Migori,Rongo,2.1,55.0,60.0
2024-05-28,Cow Milk (Processed),-,Meru,Ngundune,1.2,100.0,120.0
2024-05-21,Cow Milk (Processed),-,Meru,Ngundune,1.5,100.0,120.0
2024-05-13,Cow Milk (Processed),-,Kisumu,Ahero,1.2,120.0,130.0
2024-05-12,Cow Milk (Processed),-,Nyamira,Ikonge,3.6,59.72,120.0
2024-05-09,Cow Milk (Processed),-,Meru,Ngundune,1.5,100.0,120.0
2024-05-05,Cow Milk (Processed),-,Migori,Rongo,0.1,100.0,100.0
2024-05-05,Cow Milk (Processed),-,Migori,Rongo,0.1,140.0,170.0
2024-05-05,Cow Milk (Processed),-,Migori,Rongo,1.65,55.0,65.0
2024-05-01,Cow Milk (Processed),-,Migori,Rongo,0.12,140.0,170.0
2024-05-01,Cow Milk (Processed),-,Migori,Rongo,0.1,100.0,100.0
2024-04-30,Cow Milk (Processed),-,Meru,Ngundune,1.2,100.0,120.0
2024-04-24,Cow Milk (Processed),-,Migori,Rongo,0.2,140.0,170.0
2024-04-24,Cow Milk (Processed),-,Migori,Rongo,0.1,100.0,100.0
2024-04-23,Cow Milk (Processed),-,Meru,Ngundune,1.5,100.0,120.0
2024-04-17,Cow Milk (Processed),-,Kisumu,Ahero,0.2,120.0,130.0
2024-04-17,Cow Milk (Processed),-,Kitui,Mwingi Town,1.2,105.0,130.0
2024-04-16,Cow Milk (Processed),-,Meru,Ngundune,1.5,100.0,120.0
2024-04-16,Cow Milk (Processed),-,Nandi,Kabiyet Market,2.0,70.0,100.0
2024-04-09,Cow Milk (Processed),-,Meru,Ngundune,1.2,100.0,120.0
2024-04-08,Cow Milk (Processed),-,Kisumu,Ahero,0.3,120.0,130.0
2024-04-05,Cow Milk (Processed),-,Kajiado,Ilbissil Livestock Market,2.5,90.0,120.0
2024-04-02,Cow Milk (Processed),-,Kisumu,Ahero,0.6,120.0,130.0
2024-04-02,Cow Milk (Processed),-,Nandi,Kabiyet Market,2.5,50.0,70.0
2024-04-02,Cow Milk (Processed),-,Meru,Ngundune,1.25,100.0,120.0
2024-03-26,Cow Milk (Processed),-,Meru,Ngundune,1.4,100.0,120.0
2024-03-20,Cow Milk (Processed),-,Kitui,Mwingi Town,3.0,105.0,120.0
2024-03-19,Cow Milk (Processed),-,Meru,Ngundune,1.5,100.0,120.0
2024-03-17,Cow Milk (Processed),-,Nyamira,Ikonge,3.6,45.0,120.0
2024-03-12,Cow Milk (Processed),-,Meru,Ngundune,1.25,100.0,120.0
2024-03-11,Cow Milk (Processed),-,Siaya,Aram,0.936,105.0,120.0
2024-03-11,Cow Milk (Processed),-,Siaya,Aram,0.852,108.33,120.0
2024-03-07,Cow Milk (Processed),-,Meru,Ngundune,0.85,100.0,120.0
2024-03-05,Cow Milk (Processed),-,Kisumu,Ahero,0.4,120.0,130.0
2024-03-04,Cow Milk (Processed),-,Siaya,Aram,0.864,108.33,150.0
2024-03-04,Cow Milk (Processed),-,Siaya,Aram,0.96,145.0,160.0
2024-03-04,Cow Milk (Processed),-,Siaya,Aram,0.93,111.67,120.0
2024-03-04,Cow Milk (Processed),-,Siaya,Aram,1.02,108.33,120.0
2024-02-26,Cow Milk (Processed),-,Siaya,Aram,0.912,135.42,150.0
2024-02-26,Cow Milk (Processed),-,Siaya,Aram,1.02,145.0,160.0
2024-02-26,Cow Milk (Processed),-,Siaya,Aram,0.96,111.67,120.0
2024-02-26,Cow Milk (Processed),-,Siaya,Aram,0.84,108.33,120.0
2024-02-20,Cow Milk (Processed),-,Meru,Ngundune,1.2,100.0,120.0
2024-02-15,Cow Milk (Processed),-,Siaya,Aram,0.336,150.0,160.0
2024-02-15,Cow Milk (Processed),-,Siaya,Aram,0.696,135.42,150.0
2024-02-15,Cow Milk (Processed),-,Siaya,Aram,0.9,108.33,120.0
2024-02-15,Cow Milk (Processed),-,Siaya,Aram,0.99,108.33,120.0
2024-02-14,Cow Milk (Processed),-,Migori,Rongo,1.3,55.0,65.0
2024-02-14,Cow Milk (Processed),-,Migori,Rongo,0.1,80.0,80.0
2024-02-14,Cow Milk (Processed),-,Migori,Rongo,0.1,140.0,170.0
2024-02-14,Cow Milk (Processed),-,Migori,Rongo,0.15,55.0,65.0
2024-02-12,Cow Milk (Processed),-,Siaya,Aram,0.672,135.42,150.0
2024-02-12,Cow Milk (Processed),-,Siaya,Aram,0.96,145.0,160.0
2024-02-12,Cow Milk (Processed),-,Siaya,Aram,0.81,111.67,120.0
2024-02-12,Cow Milk (Processed),-,Siaya,Aram,0.93,108.33,120.0
2024-02-06,Cow Milk (Processed),-,Meru,Ngundune,1.5,100.0,120.0
2024-02-05,Cow Milk (Processed),-,Siaya,Aram,0.936,135.42,150.0
2024-02-05,Cow Milk (Processed),-,Siaya,Aram,1.26,145.0,160.0
2024-02-05,Cow Milk (Processed),-,Siaya,Aram,1.23,111.67,120.0
2024-02-05,Cow Milk (Processed),-,Siaya,Aram,1.08,108.33,120.0
2024-01-30,Cow Milk (Processed),-,Kisumu,Ahero,0.6,120.0,130.0
2024-01-30,Cow Milk (Processed),-,Meru,Ngundune,1.2,100.0,120.0
2024-01-29,Cow Milk (Processed),-,Siaya,Aram,0.744,135.42,150.0
2024-01-29,Cow Milk (Processed),-,Siaya,Aram,1.05,145.0,160.0
2024-01-29,Cow Milk (Processed),-,Siaya,Aram,0.87,111.67,120.0
2024-01-29,Cow Milk (Processed),-,Siaya,Aram,0.96,108.33,120.0
2024-01-26,Cow Milk (Processed),-,Nakuru,Molo,0.6,48.89,60.0
2024-01-25,Cow Milk (Processed),-,Siaya,Aram,0.84,145.0,160.0
2024-01-25,Cow Milk (Processed),-,Siaya,Aram,0.78,108.33,120.0
2024-01-25,Cow Milk (Processed),-,Siaya,Aram,0.828,111.67,120.0
2024-01-23,Cow Milk (Processed),-,Meru,Ngundune,1.5,100.0,120.0
2024-01-22,Cow Milk (Processed),-,Siaya,Aram,0.61,135.42,150.0
2024-01-22,Cow Milk (Processed),-,Siaya,Aram,0.96,145.0,160.0
2024-01-22,Cow Milk (Processed),-,Siaya,Aram,0.912,108.33,120.0
2024-01-22,Cow Milk (Processed),-,Siaya,Aram,0.804,111.67,120.0
2024-01-15,Cow Milk (Processed),-,Siaya,Aram,0.471,150.0,160.0
2024-01-15,Cow Milk (Processed),-,Siaya,Aram,1.176,135.42,150.0
2024-01-15,Cow Milk (Processed),-,Siaya,Aram,1.26,140.0,160.0
2024-01-15,Cow Milk (Processed),-,Siaya,Aram,1.05,108.33,120.0
2024-01-15,Cow Milk (Processed),-,Siaya,Aram,1.17,105.0,120.0
2024-01-10,Cow Milk (Processed),-,Kisumu,Ahero,0.6,120.0,130.0
2024-01-09,Cow Milk (Processed),-,Meru,Ngundune,1.5,100.0,120.0
2024-01-08,Cow Milk (Processed),-,Siaya,Aram,1.95,150.0,160.0
2024-01-08,Cow Milk (Processed),-,Siaya,Aram,0.936,125.0,150.0
2024-01-08,Cow Milk (Processed),-,Siaya,Aram,1.02,108.33,120.0
2024-01-08,Cow Milk (Processed),-,Siaya,Aram,1.02,105.0,120.0
2024-01-04,Cow Milk (Processed),-,Siaya,Aram,0.864,135.42,150.0
2024-01-04,Cow Milk (Processed),-,Siaya,Aram,1.02,140.0,160.0
2024-01-04,Cow Milk (Processed),-,Siaya,Aram,0.84,106.67,120.0
2024-01-04,Cow Milk (Processed),-,Siaya,Aram,0.96,105.0,120.0
2024-01-04,Cow Milk (Processed),-,Kisumu,Ahero,0.6,120.0,130.0
2024-01-02,Cow Milk (Processed),-,Meru,Ngundune,1.2,100.0,120.0
2023-12-28,Cow Milk (Processed),-,Meru,Ngundune,1.5,100.0,120.0
2023-12-27,Cow Milk (Processed),-,Migori,Rongo,0.01,80.0,80.0
2023-12-27,Cow Milk (Processed),-,Migori,Rongo,0.1,140.0,170.0
2023-12-27,Cow Milk (Processed),-,Migori,Rongo,0.1,80.0,80.0
2023-12-26,Cow Milk (Processed),-,Kisumu,Ahero,2.4,120.0,130.0
2023-12-21,Cow Milk (Processed),-,Siaya,Aram,0.51,150.0,160.0
2023-12-21,Cow Milk (Processed),-,Siaya,Aram,0.778,120.83,150.0
2023-12-21,Cow Milk (Processed),-,Siaya,Aram,0.942,140.0,160.0
2023-12-21,Cow Milk (Processed),-,Siaya,Aram,0.96,108.33,120.0
2023-12-21,Cow Milk (Processed),-,Siaya,Aram,1.05,103.33,120.0
2023-12-20,Cow Milk (Processed),-,Kisumu,Ahero,1.2,120.0,130.0
2023-12-19,Cow Milk (Processed),-,Meru,Ngundune,1.5,100.0,120.0
2023-12-18,Cow Milk (Processed),-,Siaya,Aram,0.72,150.0,160.0
2023-12-18,Cow Milk (Processed),-,Siaya,Aram,0.96,120.83,150.0
2023-12-18,Cow Milk (Processed),-,Siaya,Aram,1.17,140.0,160.0
2023-12-18,Cow Milk (Processed),-,Siaya,Aram,1.38,105.0,120.0
2023-12-18,Cow Milk (Processed),-,Siaya,Aram,1.29,108.33,120.0
2023-12-14,Cow Milk (Processed),-,Siaya,Aram,0.45,140.0,160.0
2023-12-14,Cow Milk (Processed),-,Siaya,Aram,0.624,116.67,150.0
2023-12-14,Cow Milk (Processed),-,Siaya,Aram,0.99,140.0,160.0
2023-12-14,Cow Milk (Processed),-,Siaya,Aram,0.852,106.67,120.0
2023-12-14,Cow Milk (Processed),-,Siaya,Aram,0.912,105.0,120.0
2023-12-14,Cow Milk (Processed),-,Meru,Ngundune,1.5,100.0,120.0
2023-12-13,Cow Milk (Processed),-,Muranga,Kabati - Muranga,3.87,100.0,110.0
2023-12-11,Cow Milk (Processed),-,Siaya,Aram,0.78,116.67,150.0
2023-12-11,Cow Milk (Processed),-,Siaya,Aram,0.9,140.0,160.0
2023-12-11,Cow Milk (Processed),-,Siaya,Aram,0.84,108.33,120.0
2023-12-11,Cow Milk (Processed),-,Siaya,Aram,0.972,105.0,120.0
2023-12-11,Cow Milk (Processed),-,Kisumu,Ahero,2.0,120.0,130.0
2023-12-07,Cow Milk (Processed),-,Siaya,Aram,0.75,116.67,150.0
2023-12-07,Cow Milk (Processed),-,Siaya,Aram,0.9,140.0,160.0
2023-12-07,Cow Milk (Processed),-,Siaya,Aram,0.78,108.33,120.0
2023-12-07,Cow Milk (Processed),-,Siaya,Aram,0.84,105.0,120.0
2023-12-05,Cow Milk (Processed),-,Meru,Ngundune,1.2,100.0,120.0
2023-12-04,Cow Milk (Processed),-,Siaya,Aram,0.576,116.67,150.0
2023-12-04,Cow Milk (Processed),-,Siaya,Aram,0.78,140.0,160.0
2023-12-04,Cow Milk (Processed),-,Siaya,Aram,0.804,108.33,120.0
2023-12-04,Cow Milk (Processed),-,Siaya,Aram,0.852,105.0,120.0
2023-12-03,Cow Milk (Processed),-,Nyamira,Ikonge,4.2,55.555,120.0
2023-11-30,Cow Milk (Processed),-,Siaya,Aram,0.696,116.67,150.0
2023-11-30,Cow Milk (Processed),-,Siaya,Aram,0.78,140.0,160.0
2023-11-30,Cow Milk (Processed),-,Siaya,Aram,0.726,108.33,120.0
2023-11-30,Cow Milk (Processed),-,Siaya,Aram,0.846,103.33,120.0
2023-11-30,Cow Milk (Processed),-,Meru,Ngundune,1.2,100.0,120.0
2023-11-27,Cow Milk (Processed),-,Siaya,Aram,0.6,116.67,150.0
2023-11-27,Cow Milk (Processed),-,Siaya,Aram,0.93,140.0,160.0
2023-11-27,Cow Milk (Processed),-,Siaya,Aram,0.78,103.33,110.0
2023-11-27,Cow Milk (Processed),-,Siaya,Aram,0.84,108.33,120.0
2023-11-23,Cow Milk (Processed),-,Kisumu,Ahero,1.4,120.0,130.0
2023-11-23,Cow Milk (Processed),-,Siaya,Aram,0.648,116.67,150.0
2023-11-23,Cow Milk (Processed),-,Siaya,Aram,1.02,140.0,160.0
2023-11-23,Cow Milk (Processed),-,Siaya,Aram,0.87,105.0,110.0
2023-11-23,Cow Milk (Processed),-,Siaya,Aram,0.78,108.33,120.0
2023-11-21,Cow Milk (Processed),-,Meru,Ngundune,1.2,100.0,120.0
2023-11-20,Cow Milk (Processed),-,Siaya,Aram,0.72,116.67,150.0
2023-11-20,Cow Milk (Processed),-,Siaya,Aram,0.78,140.0,160.0
2023-11-20,Cow Milk (Processed),-,Siaya,Aram,0.9,105.0,110.0
2023-11-20,Cow Milk (Processed),-,Siaya,Aram,0.768,108.33,120.0
2023-11-19,Cow Milk (Processed),-,Nyamira,Ikonge,4.2,47.22,120.0
2023-11-16,Cow Milk (Processed),-,Meru,Ngundune,1.5,100.0,120.0
2023-11-15,Cow Milk (Processed),-,Migori,Rongo,0.12,80.0,80.0
2023-11-15,Cow Milk (Processed),-,Migori,Rongo,0.1,140.0,170.0
2023-11-12,Cow Milk (Processed),-,Migori,Rongo,0.1,80.0,80.0
2023-11-10,Cow Milk (Processed),-,Vihiga,Cheptulu,0.695,70.0,90.0
2023-11-10,Cow Milk (Processed),-,Migori,Rongo,0.1,80.0,80.0
2023-11-10,Cow Milk (Processed),-,Migori,Rongo,0.1,140.0,170.0
2023-11-08,Cow Milk (Processed),-,Migori,Rongo,0.1,80.0,80.0
2023-11-08,Cow Milk (Processed),-,Migori,Rongo,0.12,140.0,170.0
2023-11-07,Cow Milk (Processed),-,Meru,Ngundune,1.2,100.0,120.0
2023-11-06,Cow Milk (Processed),-,Kisumu,Ahero,2.0,120.0,130.0
2023-11-06,Cow Milk (Processed),-,Migori,Rongo,0.12,140.0,170.0
2023-11-06,Cow Milk (Processed),-,Migori,Rongo,0.1,80.0,80.0
2023-11-05,Cow Milk (Processed),-,Nyamira,Ikonge,3.6,48.33,120.0
2023-11-03,Cow Milk (Processed),-,Migori,Rongo,0.1,80.0,80.0
2023-11-03,Cow Milk (Processed),-,Migori,Rongo,0.1,140.0,170.0
2023-11-01,Cow Milk (Processed),-,Migori,Rongo,0.1,140.0,170.0
2023-11-01,Cow Milk (Processed),-,Migori,Rongo,0.1,80.0,80.0
2023-10-30,Cow Milk (Processed),-,Migori,Rongo,0.1,140.0,170.0
2023-10-30,Cow Milk (Processed),-,Migori,Rongo,0.1,80.0,80.0
2023-10-27,Cow Milk (Processed),-,Migori,Rongo,0.1,80.0,80.0
2023-10-27,Cow Milk (Processed),-,Migori,Rongo,0.1,140.0,170.0
2023-10-27,Cow Milk (Processed),-,Migori,Rongo,2.3,80.0,80.0
2023-10-25,Cow Milk (Processed),-,Migori,Rongo,0.1,80.0,80.0
2023-10-24,Cow Milk (Processed),-,Kisumu,Ahero,2.4,120.0,130.0
2023-10-24,Cow Milk (Processed),-,Meru,Ngundune,1.5,100.0,120.0
2023-10-23,Cow Milk (Processed),-,Migori,Rongo,0.1,140.0,170.0
2023-10-23,Cow Milk (Processed),-,Migori,Rongo,0.1,80.0,80.0
2023-10-22,Cow Milk (Processed),-,Nyamira,Ikonge,3.6,51.665,120.0
2023-10-18,Cow Milk (Processed),-,Migori,Rongo,0.1,140.0,170.0
2023-10-18,Cow Milk (Processed),-,Migori,Rongo,0.1,80.0,80.0
2023-10-17,Cow Milk (Processed),-,Meru,Ngundune,1.2,100.0,120.0
2023-10-16,Cow Milk (Processed),-,Migori,Rongo,0.1,140.0,170.0
2023-10-16,Cow Milk (Processed),-,Migori,Rongo,0.1,80.0,80.0
2023-10-15,Cow Milk (Processed),-,Nyamira,Ikonge,3.6,43.89,120.0
2023-10-13,Cow Milk (Processed),-,Migori,Rongo,0.1,140.0,170.0
2023-10-13,Cow Milk (Processed),-,Migori,Rongo,0.1,80.0,80.0
2023-10-13,Cow Milk (Processed),-,Migori,Rongo,1.25,55.0,60.0
2023-10-12,Cow Milk (Processed),-,Meru,Ngundune,1.5,100.0,120.0
2023-10-09,Cow Milk (Processed),-,Vihiga,Serem - Vihiga,0.4,57.78,130.0
2023-10-03,Cow Milk (Processed),-,Siaya,Bondo,2.0,100.0,120.0
2023-10-03,Cow Milk (Processed),-,Meru,Ngundune,1.5,100.0,120.0
2023-10-01,Cow Milk (Processed),-,Nyamira,Ikonge,3.4,61.115,120.0
2023-09-30,Cow Milk (Processed),-,Vihiga,Serem - Vihiga,0.4,47.78,130.0
2023-09-27,Cow Milk (Processed),-,Kisumu,Ahero,2.6,120.0,130.0
2023-09-26,Cow Milk (Processed),-,Meru,Ngundune,1.5,100.0,120.0
2023-09-24,Cow Milk (Processed),-,Nyamira,Ikonge,3.9,54.445,120.0
2023-09-19,Cow Milk (Processed),-,Meru,Ngundune,1.5,100.0,120.0
2023-09-15,Cow Milk (Processed),-,Vihiga,Kilingili,0.1,75.0,105.0
2023-09-13,Cow Milk (Processed),-,Migori,Rongo,0.12,80.0,80.0
2023-09-12,Cow Milk (Processed),-,Siaya,Bondo,1.0,100.0,130.0
2023-09-05,Cow Milk (Processed),-,Vihiga,Kilingili,0.08,55.0,105.0
2023-09-05,Cow Milk (Processed),-,Kisumu,Ahero,2.0,120.0,130.0
2023-09-05,Cow Milk (Processed),-,Meru,Ngundune,1.2,100.0,120.0
2023-09-04,Cow Milk (Processed),-,Siaya,Aram,0.72,125.0,150.0
2023-09-04,Cow Milk (Processed),-,Siaya,Aram,1.02,136.67,160.0
2023-09-04,Cow Milk (Processed),-,Siaya,Aram,0.96,108.33,120.0
2023-09-04,Cow Milk (Processed),-,Siaya,Aram,0.87,105.0,120.0
2023-09-02,Cow Milk (Processed),-,Vihiga,Serem - Vihiga,0.3,53.89,130.0
2023-09-01,Cow Milk (Processed),-,Siaya,Bondo,2.0,100.0,120.0
2023-09-01,Cow Milk (Processed),-,Vihiga,Kilingili,0.1,55.0,110.0
2023-08-30,Cow Milk (Processed),-,Vihiga,Kilingili,0.1,55.0,105.0
2023-08-29,Cow Milk (Processed),-,Kisumu,Ahero,1.2,120.0,130.0
